year_id,team_id,games,ws_win,wins,team_name
1896,CL4,135,NA,80,Cleveland Spiders
1896,LS3,134,NA,38,Louisville Colonels
1896,NY1,133,NA,64,New York Giants
1896,PHI,130,NA,62,Philadelphia Phillies
1896,PIT,131,NA,66,Pittsburgh Pirates
1896,SLN,131,NA,40,St. Louis Browns
1896,WAS,133,NA,58,Washington Senators
1897,BLN,136,NA,90,Baltimore Orioles
1897,BRO,136,NA,61,Brooklyn Bridegrooms
1897,BSN,135,NA,93,Boston Beaneaters
1897,CHN,138,NA,59,Chicago Colts
1897,CIN,134,NA,76,Cincinnati Reds
1897,CL4,130,NA,69,Cleveland Spiders
1897,LS3,135,NA,52,Louisville Colonels
1897,NY1,137,NA,83,New York Giants
1897,PHI,133,NA,55,Philadelphia Phillies
1897,PIT,134,NA,60,Pittsburgh Pirates
1897,SLN,133,NA,29,St. Louis Browns
1897,WAS,133,NA,61,Washington Senators
1898,BLN,153,NA,96,Baltimore Orioles
1898,BRO,149,NA,54,Brooklyn Bridegrooms
1898,BSN,152,NA,102,Boston Beaneaters
1898,CHN,152,NA,85,Chicago Orphans
1898,CIN,157,NA,92,Cincinnati Reds
1898,CL4,156,NA,81,Cleveland Spiders
1898,LS3,154,NA,70,Louisville Colonels
1898,NY1,156,NA,77,New York Giants
1898,PHI,150,NA,78,Philadelphia Phillies
1898,PIT,152,NA,72,Pittsburgh Pirates
1898,SLN,154,NA,39,St. Louis Browns
1898,WAS,155,NA,51,Washington Senators
1899,BLN,151,NA,86,Baltimore Orioles
1899,BRO,148,NA,101,Brooklyn Superbas
1899,BSN,153,NA,95,Boston Beaneaters
1899,CHN,152,NA,75,Chicago Orphans
1899,CIN,157,NA,83,Cincinnati Reds
1899,CL4,154,NA,20,Cleveland Spiders
1899,LS3,156,NA,75,Louisville Colonels
1899,NY1,152,NA,60,New York Giants
1899,PHI,154,NA,94,Philadelphia Phillies
1899,PIT,155,NA,76,Pittsburgh Pirates
1899,SLN,155,NA,84,St. Louis Perfectos
1899,WAS,155,NA,54,Washington Senators
1900,BRO,141,NA,82,Brooklyn Superbas
1900,BSN,142,NA,66,Boston Beaneaters
1900,CHN,146,NA,65,Chicago Orphans
1900,CIN,144,NA,62,Cincinnati Reds
1900,NY1,141,NA,60,New York Giants
1900,PHI,141,NA,75,Philadelphia Phillies
1900,PIT,140,NA,79,Pittsburgh Pirates
1900,SLN,141,NA,65,St. Louis Cardinals
1901,BLA,134,NA,68,Baltimore Orioles
1901,BOS,138,NA,79,Boston Americans
1901,BRO,137,NA,79,Brooklyn Superbas
1901,BSN,140,NA,69,Boston Beaneaters
1901,CHA,137,NA,83,Chicago White Sox
1901,CHN,140,NA,53,Chicago Orphans
1901,CIN,142,NA,52,Cincinnati Reds
1901,CLE,138,NA,54,Cleveland Blues
1901,DET,135,NA,74,Detroit Tigers
1901,MLA,139,NA,48,Milwaukee Brewers
1901,NY1,141,NA,52,New York Giants
1901,PHA,137,NA,74,Philadelphia Athletics
1901,PHI,140,NA,83,Philadelphia Phillies
1901,PIT,140,NA,90,Pittsburgh Pirates
1901,SLN,142,NA,76,St. Louis Cardinals
1901,WS1,138,NA,61,Washington Senators
1902,BLA,140,NA,50,Baltimore Orioles
1902,BOS,138,NA,77,Boston Americans
1902,BRO,141,NA,75,Brooklyn Superbas
1902,BSN,141,NA,73,Boston Beaneaters
1902,CHA,138,NA,74,Chicago White Sox
1902,CHN,143,NA,68,Chicago Orphans
1902,CIN,141,NA,70,Cincinnati Reds
1902,CLE,137,NA,69,Cleveland Bronchos
1902,DET,137,NA,52,Detroit Tigers
1902,NY1,141,NA,48,New York Giants
1902,PHA,137,NA,83,Philadelphia Athletics
1902,PHI,138,NA,56,Philadelphia Phillies
1902,PIT,141,NA,103,Pittsburgh Pirates
1902,SLA,139,NA,78,St. Louis Browns
1902,SLN,140,NA,56,St. Louis Cardinals
1902,WS1,138,NA,61,Washington Senators
1903,BOS,141,Y,91,Boston Americans
1903,BRO,139,N,70,Brooklyn Superbas
1903,BSN,140,N,58,Boston Beaneaters
1903,CHA,138,N,60,Chicago White Sox
1903,CHN,139,N,82,Chicago Cubs
1903,CIN,141,N,74,Cincinnati Reds
1903,CLE,140,N,77,Cleveland Naps
1903,DET,137,N,65,Detroit Tigers
1903,NY1,142,N,84,New York Giants
1903,NYA,136,N,72,New York Highlanders
1903,PHA,137,N,75,Philadelphia Athletics
1903,PHI,139,N,49,Philadelphia Phillies
1903,PIT,141,N,91,Pittsburgh Pirates
1903,SLA,139,N,65,St. Louis Browns
1903,SLN,139,N,43,St. Louis Cardinals
1903,WS1,140,N,43,Washington Senators
1904,BOS,157,NA,95,Boston Americans
1904,BRO,154,NA,56,Brooklyn Superbas
1904,BSN,155,NA,55,Boston Beaneaters
1904,CHA,156,NA,89,Chicago White Sox
1904,CHN,156,NA,93,Chicago Cubs
1904,CIN,157,NA,88,Cincinnati Reds
1904,CLE,154,NA,86,Cleveland Naps
1904,DET,162,NA,62,Detroit Tigers
1904,NY1,157,NA,106,New York Giants
1904,NYA,155,NA,92,New York Highlanders
1904,PHA,155,NA,81,Philadelphia Athletics
1904,PHI,155,NA,52,Philadelphia Phillies
1904,PIT,156,NA,87,Pittsburgh Pirates
1904,SLA,156,NA,65,St. Louis Browns
1904,SLN,154,NA,75,St. Louis Cardinals
1904,WS1,157,NA,38,Washington Senators
1905,BOS,153,N,78,Boston Americans
1905,BRO,155,N,48,Brooklyn Superbas
1905,BSN,156,N,51,Boston Beaneaters
1905,CHA,158,N,92,Chicago White Sox
1905,CHN,155,N,92,Chicago Cubs
1905,CIN,155,N,79,Cincinnati Reds
1905,CLE,155,N,76,Cleveland Naps
1905,DET,154,N,79,Detroit Tigers
1905,NY1,155,Y,105,New York Giants
1905,NYA,152,N,71,New York Highlanders
1905,PHA,152,N,92,Philadelphia Athletics
1905,PHI,155,N,83,Philadelphia Phillies
1905,PIT,155,N,96,Pittsburgh Pirates
1905,SLA,156,N,54,St. Louis Browns
1905,SLN,154,N,58,St. Louis Cardinals
1905,WS1,154,N,64,Washington Senators
1906,BOS,155,N,49,Boston Americans
1906,BRO,153,N,66,Brooklyn Superbas
1906,BSN,152,N,49,Boston Beaneaters
